% degree N
3
% number of nodes
20
% node coordinates
-7.090169943749484E-01 -1.999999999999999E+00 -1.909830056250532E-01 1.000000000000007E-01 1.618033988749895E+00 2.700000000000000E+00 -1.909830056250536E-01 -1.309016994374947E+00 -6.180339887498947E-01 5.999999999999996E-01 -1.428089603898256E-16 -3.358854776358914E-17 -4.240674603141007E-17 3.641571234810652E-16 -1.997930201655032E-16 5.841020666837823E-17 -3.828850203047927E-17 9.951981962199782E-18 9.835846985611462E-18 4.843539094517487E-18 
4.090169943749483E-01 -1.309016994374947E+00 -2.000000000000000E+00 1.000000000000006E-01 -1.909830056250525E-01 2.699999999999999E+00 1.618033988749894E+00 -6.180339887498939E-01 -1.309016994374947E+00 5.999999999999998E-01 -3.972752049184796E-16 7.305718679163551E-16 -5.289027019128825E-16 2.847217354651910E-17 1.358919297690427E-16 5.841020666837826E-17 -3.045892169659098E-16 1.681477687744857E-16 9.835846985611499E-18 3.314577671229318E-17 
-5.000000000000006E-01 1.545084971874737E+00 -4.045084971874735E+00 -3.614780495439009E-16 -3.003262430394661E-17 -1.252122295657594E-15 4.045084971874737E+00 9.224607867275830E-16 -1.545084971874737E+00 4.999999999999998E-01 4.980470248662791E-16 -1.665942451211151E-15 8.981892944681074E-16 5.374523732545773E-17 6.816571193830435E-17 1.009218109614706E-16 -2.664971899411223E-16 5.104051147429964E-16 -2.547549737840991E-17 -5.718635192397736E-17 
-8.090169943749483E-01 5.445361088712798E-16 -1.801467987331838E-18 1.474564820191795E-16 5.145436778600079E-16 -5.104441089876312E-16 -6.602453861028590E-18 1.118033988749895E+00 -4.866470389738650E-32 -3.090169943749475E-01 1.992174212686907E-16 -3.211972699407226E-18 -1.146480994322669E-16 -2.904123632551685E-16 1.794745625449120E-16 2.611511764305711E-17 4.590793052917347E-17 5.376838370812823E-17 -8.352767215048964E-17 -4.227769385543081E-18 
3.333333333333334E-01 -7.272316635416372E-01 -1.061016697916963E-01 1.073397293362948E-16 -6.211299937499413E-01 -5.296344407845130E-16 1.061016697916962E-01 6.211299937499412E-01 7.272316635416377E-01 -3.333333333333333E-01 -2.322436380263307E-17 2.106458081266972E-16 -8.746299911173234E-17 -1.216119935525978E-16 2.981931795391769E-17 -4.557652132947370E-18 -4.356345542212384E-18 7.542617108894210E-17 -8.788384664165817E-17 4.401967871408034E-18 
-5.999999999999994E-01 1.309016994374946E+00 -1.618033988749893E+00 -1.000000000000007E-01 6.180339887498936E-01 -2.699999999999999E+00 2.000000000000000E+00 1.909830056250523E-01 1.309016994374948E+00 -4.090169943749472E-01 7.164928132588590E-16 -1.114302140852199E-15 4.440892098500626E-16 -3.795776401457938E-16 2.261866853837370E-16 6.862672193614952E-17 -1.986647367499850E-18 3.001648028527794E-16 -1.188390165145109E-16 -4.695159613386128E-17 
3.090169943749482E-01 -7.811664939949411E-17 3.931243939040283E-16 -1.252124412714670E-16 -1.118033988749894E+00 -1.104463770040456E-15 1.764337134673157E-16 5.500352830973055E-16 1.337768721974309E-16 8.090169943749469E-01 7.587381622717535E-17 8.906763955682070E-17 1.339367715193070E-17 -3.433682677095585E-16 5.701709236001368E-17 1.020269518527859E-16 3.968049165230262E-17 -3.064588719271622E-17 1.887487896710404E-17 -7.306797621952735E-18 
-5.999999999999996E-01 6.180339887498946E-01 1.909830056250529E-01 -1.000000000000001E-01 1.309016994374946E+00 -2.699999999999998E+00 1.909830056250522E-01 -1.618033988749895E+00 2.000000000000000E+00 7.090169943749470E-01 5.984242359306365E-17 -2.692045261956364E-16 3.754736534189567E-16 8.217486805516835E-17 -4.109791974565140E-16 1.445385561458783E-16 6.822151598175309E-17 3.281460025391194E-17 -1.643646539691714E-17 -2.214847613322152E-17 
-5.000000000000002E-01 3.267356719760989E-16 6.551473415958916E-17 2.532983647310884E-16 1.545084971874737E+00 4.260452920267316E-16 -5.227830622954308E-16 -4.045084971874736E+00 6.611218150241611E-32 3.000000000000000E+00 -2.692470132728778E-16 -1.307661658102528E-16 9.179168320876854E-17 3.833505037123264E-16 -4.375040824403209E-17 -2.503886469476375E-17 -5.835538330651562E-17 -1.315489556456778E-16 1.603608340910204E-16 7.734589987334834E-18 
-7.090169943749477E-01 -8.934392611666939E-17 5.265900017103317E-16 -1.275642324442941E-16 1.618033988749895E+00 -6.106226635438371E-17 -6.088559033596213E-16 -1.309016994374947E+00 2.914319040437847E-16 5.999999999999998E-01 -2.000000000000000E+00 -2.086033266468540E-16 2.833010442840959E-16 2.700000000000000E+00 -1.342643646054360E-16 -6.180339887498947E-01 -1.909830056250527E-01 7.432801609505912E-17 -1.909830056250524E-01 9.999999999999983E-02 
