 8  9    15625  8000000 3.858522e-04 2.073333e+10 3.522480e-06 5.678987e+02 5.631644e+02 1.749293e+03 2.530762e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 8  9    15625  8000000 3.675365e-04 2.176655e+10 3.243040e-06 5.961993e+02 5.735610e+02 1.836467e+03 2.656879e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 8  9    15625  8000000 4.059949e-04 1.970468e+10 3.568080e-06 5.397235e+02 5.464521e+02 1.662505e+03 2.405202e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 8  9    15625  8000000 6.855292e-04 1.166982e+10 3.555040e-06 3.196435e+02 5.659384e+02 9.845952e+02 1.424447e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 8  9    15625  8000000 4.653195e-04 1.719249e+10 3.234320e-06 4.709130e+02 5.258571e+02 1.450549e+03 2.098558e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 9 10    10973  7999317 4.009160e-04 1.995260e+10 3.659520e-06 5.382002e+02 5.766066e+02 1.807503e+03 2.670200e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 9 10    10973  7999317 4.419532e-04 1.809992e+10 3.584400e-06 4.882261e+02 5.150385e+02 1.639669e+03 2.422261e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 9 10    10973  7999317 4.104880e-04 1.948734e+10 3.276000e-06 5.256502e+02 5.409653e+02 1.765355e+03 2.607935e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 9 10    10973  7999317 3.655560e-04 2.188261e+10 3.447280e-06 5.902600e+02 5.056849e+02 1.982342e+03 2.928487e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 9 10    10973  7999317 5.271209e-04 1.517549e+10 3.502400e-06 4.093427e+02 5.386057e+02 1.374745e+03 2.030892e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
